date,value
2015-01-01,0.308143
2015-01-13,0.341506
2015-01-14,0.353077
2015-01-15,0.359709
2015-01-16,0.352443
2015-01-17,0.354292
2015-01-20,0.353202
2015-01-21,0.353522
2015-01-22,0.355731
2015-01-23,0.355222
2015-01-24,0.34405
2015-01-27,0.355319
2015-01-28,0.367354
2015-01-29,0.363753
2015-01-30,0.37231
2015-01-31,0.373711
2015-02-03,0.377368
2015-02-04,0.367063
2015-02-05,0.353949
2015-02-06,0.371002
2015-02-07,0.357174
2015-02-10,0.355087
2015-02-11,0.353671
2015-02-12,0.356678
2015-02-13,0.356841
2015-02-14,0.351399
2015-02-17,0.338345
2015-02-18,0.339274
2015-02-19,0.337097
2015-02-20,0.335642
2015-02-21,0.333334
2015-02-25,0.342973
2015-02-26,0.338108
2015-02-27,0.327503
2015-02-28,0.330663
2015-03-03,0.335978
2015-03-04,0.336798
2015-03-05,0.334728
2015-03-06,0.333643
2015-03-07,0.323216
2015-03-11,0.327538
2015-03-12,0.338151
2015-03-13,0.328889
2015-03-14,0.330816
2015-03-17,0.33503
2015-03-18,0.332863
2015-03-19,0.330942
2015-03-20,0.322269
2015-03-21,0.322894
2015-03-24,0.319572
2015-03-25,0.315948
2015-03-26,0.308512
2015-03-27,0.304403
2015-03-28,0.310942
2015-03-31,0.314654
2015-04-01,0.310447
2015-04-02,0.314236
2015-04-03,0.306754
2015-04-04,0.305479
2015-04-07,0.304202
2015-04-08,0.298009
2015-04-09,0.290804
2015-04-10,0.283003
2015-04-11,0.275002
2015-04-14,0.282134
2015-04-15,0.279623
2015-04-16,0.271589
2015-04-17,0.267328
2015-04-18,0.271913
2015-04-21,0.277291
2015-04-22,0.290223
2015-04-23,0.288672
2015-04-24,0.277619
2015-04-25,0.270438
2015-04-28,0.276983
2015-04-29,0.281477
2015-04-30,0.278257
2015-05-01,0.275236
2015-05-06,0.27858
2015-05-07,0.268979
2015-05-08,0.271052
2015-05-09,0.273134
2015-05-13,0.27407
2015-05-14,0.266469
2015-05-15,0.269298
2015-05-16,0.268915
2015-05-19,0.264895
2015-05-20,0.264681
2015-05-21,0.267987
2015-05-22,0.268656
2015-05-23,0.267977
2015-05-26,0.268338
2015-05-27,0.270819
2015-05-28,0.274562
2015-05-29,0.281186
2015-05-30,0.284855
2015-06-02,0.284047
2015-06-03,0.287396
2015-06-04,0.285332
2015-06-05,0.295721
2015-06-06,0.302473
2015-06-09,0.301382
2015-06-10,0.300672
2015-06-11,0.294615
2015-06-12,0.293117
2015-06-16,0.297059
2015-06-17,0.290511
2015-06-18,0.289691
2015-06-19,0.286629
2015-06-20,0.289126
2015-06-23,0.287894
2015-06-24,0.291316
2015-06-25,0.290396
2015-06-26,0.293247
2015-06-27,0.294375
2015-06-30,0.298179
2015-07-01,0.299883
2015-07-02,0.297888
2015-07-03,0.298886
2015-07-04,0.298614
2015-07-07,0.30296
2015-07-08,0.307267
2015-07-09,0.307076
2015-07-10,0.30577
2015-07-11,0.303771
2015-07-14,0.30343
2015-07-15,0.305002
2015-07-16,0.30292
2015-07-17,0.30445
2015-07-18,0.303872
2015-07-21,0.303874
2015-07-22,0.304728
2015-07-23,0.304839
2015-07-24,0.306628
2015-07-25,0.310261
2015-07-28,0.313904
2015-07-29,0.321619
2015-07-30,0.318891
2015-07-31,0.314734
2015-08-01,0.321947
2015-08-04,0.333223
2015-08-05,0.335269
2015-08-06,0.334204
2015-08-07,0.340338
2015-08-08,0.340198
2015-08-11,0.343292
2015-08-12,0.336491
2015-08-13,0.346074
2015-08-14,0.340311
2015-08-15,0.345332
2015-08-18,0.347729
2015-08-19,0.349484
2015-08-20,0.333666
2015-08-21,0.265139
2015-08-22,0.284018
2015-08-25,0.309613
2015-08-26,0.295106
2015-08-27,0.28332
2015-08-28,0.280306
2015-08-29,0.279754
2015-09-01,0.27856
2015-09-02,0.273773
2015-09-03,0.277065
2015-09-04,0.279384
2015-09-05,0.281423
2015-09-08,0.281779
2015-09-09,0.281225
2015-09-10,0.27212
2015-09-11,0.269617
2015-09-12,0.265009
2015-09-15,0.246221
2015-09-16,0.239848
2015-09-17,0.224625
2015-09-18,0.241993
2015-09-19,0.237842
2015-09-22,0.244467
2015-09-23,0.249952
2015-09-24,0.246422
2015-09-25,0.247268
2015-09-26,0.242738
2015-09-29,0.24239
2015-09-30,0.244209
2015-10-01,0.242588
2015-10-02,0.239799
2015-10-03,0.243227
2015-10-06,0.241472
2015-10-07,0.238727
2015-10-08,0.228938
2015-10-09,0.227409
2015-10-10,0.2231
2015-10-13,0.222287
2015-10-14,0.225898
2015-10-15,0.228407
2015-10-16,0.224949
2015-10-17,0.222
2015-10-20,0.22138
2015-10-21,0.224274
2015-10-22,0.225616
2015-10-23,0.225526
2015-10-24,0.222805
2015-10-27,0.223843
2015-10-28,0.2276
2015-10-29,0.233789
2015-10-30,0.229781
2015-10-31,0.229859
2015-11-03,0.226802
2015-11-04,0.225827
2015-11-06,0.211471
2015-11-07,0.207134
2015-11-10,0.210005
2015-11-11,0.210029
2015-11-12,0.210598
2015-11-13,0.213539
2015-11-14,0.216093
2015-11-17,0.216027
2015-11-18,0.212874
2015-11-19,0.210586
2015-11-20,0.21122
2015-11-21,0.211054
2015-11-24,0.213554
2015-11-25,0.213687
2015-11-26,0.213234
2015-11-27,0.2138
2015-11-28,0.215644
2015-12-01,0.216996
2015-12-02,0.215362
2015-12-03,0.216847
2015-12-04,0.220298
2015-12-05,0.220387
2015-12-08,0.223178
2015-12-09,0.22499
2015-12-10,0.223247
2015-12-11,0.222822
2015-12-12,0.219975
2015-12-15,0.211921
2015-12-16,0.212874
2015-12-17,0.212148
2015-12-18,0.212682
2015-12-19,0.208848
2015-12-22,0.20461
2015-12-23,0.213596
2015-12-24,0.214839
2015-12-25,0.213522
2015-12-26,0.214169
2015-12-29,0.212444
2015-12-30,0.213745
2015-12-31,0.215165
